name,class,class_detail,subtype,domain_detail,dynamics,layers,real_stack,real_stack_detail,scale,inputs,outputs,language,license,maintenance,maintenance_detail,last_activity,url,publication,contact,notes,source,added,verified,domains
5G-LENA NTN,Simulator,,3GPP NTN system-level (ns-3 nr module),NTN-5G (GEO/LEO),Geocentric coordinates + satellite mobility models (TR 38.811),NR PHY/MAC/RLC/PDCP + full ns-3 stack; atmospheric/scintillation channel,no,No,TR 38.821 calibration scenarios; LEO demo example (GSoC 2025),ns-3 scenario configs,ns-3 traces,C++,GPL-2.0,active,Yes (releases for ns-3.44/3.46 in 2025),2025-10,https://gitlab.com/cttc-lena/nr,WNS3 2023 (arXiv:2305.05544),CTTC + Univ. Padova,de facto open simulator for 3GPP NTN Rel-17+ studies,sweep,2026-07,2026-07,LEO; NTN-5G; GEO / DVB
A-SABR,Library,,Adaptive modular Rust SABR/CGR library,Space DTN routing,Contact plans (multiple parsers),CGR/SABR + variants (SPSN; alt pathfinding; volume management),no,No (embeddable in real stacks),Benchmark-oriented,Contact plans,Route computations,Rust,MIT,active,Yes (pushed 2026-07-07),2026-07,https://github.com/DTN-MTP/A-SABR,HAL hal-05301072 (2025); CCSDS SABR,O. De Jonckere (LIRMM),emerging modern SABR/CGR reference decoupled from any BP stack,sweep,2026-07,2026-07,Deep space / DTN
aiodtnsim,Simulator,,Minimal asyncio DTN forwarding/routing prototyping,Space DTN,TVGs from dtn-tvg-util (TLE or synthetic),Abstract bundles; pluggable CGR-family routing,no,No,Ring Road / LEO scenarios,TVG files,Simulation results,Python,MIT,low,Quiet-maintained (activity 2026-06),2026-06,https://gitlab.com/d3tn/aiodtnsim,Walter PhD / D3TN papers,Felix Walter (D3TN),simulation companion to uD3TN in published routing evaluations,sweep,2026-07,2026-07,Deep space / DTN
Argus-1,In-orbit platform,,CubeSat (AI compute; vision-based navigation),Orbital edge computing,N/A,Onboard ML inference (Jetson Orin Nano 8GB); CubeSat radio; no ISL,na,N/A,Single CubeSat (Argus-2 in development),N/A,N/A,Open-source HW/SW (cmu-argus-1/2),Open source,planned,Not yet launched (slipped from fall 2025),2026,https://github.com/cmu-argus-1,ASPLOS 2020 lineage; ICRA 2025,B. Lucia / Z. Manchester (CMU),Row overstates: single CubeSat not constellation; closed access but open design,dagstuhl,2026-07,2026-07,Orbital compute
CCC-LEO Dataset,Dataset / data,Dataset,Continuous latency + dish diagnostics,LEO broadband,N/A,ICMP/IRTT latency; gRPC diagnostics,na,N/A,30+ dishes; 6 continents; ~20 TB since 2023,N/A,JSON; ping logs; CSV; Turnstile-gated HTTP download,N/A,CC BY-SA 4.0,active,Yes (weekly portal + monthly Zenodo),2026,https://lens-starlink.jinwei.me/,ACM MMSys 2024 (LENS),Jianping Pan (UVic),CCC-LEO is the infrastructure; LENS is its published dataset,dagstuhl,2026-07,2026-07,LEO
CCC-LEO Testbed,Testbed,,Pan-Canadian + global Starlink testbed,LEO broadband,N/A (real satellites),Real Starlink links; latency focus,yes,Yes,All Canadian provinces/territories + 30 dishes on 6 continents,Sign-up form for participation,Monthly public data releases; coverage map,N/A,UNKNOWN (data CC BY-SA),active,Yes (renamed for Dave Taht 2025),2026-06,https://onlineacademiccommunity.uvic.ca/cccleo,No flagship paper yet,Jianping Pan (pan@uvic.ca),NSERC RTI funded; public access platform under development,dagstuhl,2026-07,2026-07,LEO
CCSDS DTN Reference Scenarios,Dataset / data,,Standardized DTN benchmark scenarios,"LEO, lunar and Mars communication scenarios",Curated visibility windows plus planned and actual contact plans (schedule deviation captured explicitly),"Scenario definition only: nodes, contacts, traffic, policy",na,,"Three scenarios (low-earth-orbit, lunar-communication, mars-communication), v1.0 each",n/a,"CSV (visibility, contacts) + JSON (nodes, traffic, policy) + AsciiDoc/PDF documentation; tool-neutral",Data only,CC BY 4.0 (CCSDS 2026),active,"Created 2026-04, pushed 2026-07",2026-07,https://github.com/esa/ccsds-dtn-reference-scenarios,"Companion to a CCSDS Yellow Book (SIS-DTN, 2026)",ESA on behalf of CCSDS,"Agency-endorsed common benchmark set for DTN tools; intended as shared input to simulators (DtnSim, DSNS) and stacks (ION, HDTN) so results are comparable. The planned-versus-actual contact split supports schedule-uncertainty studies.",community,2026-07,2026-07,Deep space / DTN
Celestial,Emulator,,Firecracker microVM constellation emulation,LEO edge computing,TOML shell descriptors + SGP4; bounding-box live subset,tc-netem links from geometry; full Linux stacks in microVMs; built-in DNS,yes,Yes (microVMs),66-sat Iridium class evaluated; Starlink shell-1 as motivating config,TOML config; custom kernel/rootfs images,App-level results; network state monitoring,Python + Go,GPL-3.0,low,Low (last push 2025-01; 67 stars),2025-01,https://github.com/OpenFogStack/celestial,ACM/IFIP Middleware 2022,TU Berlin (Pfandzelter; Bermbach),Bounding-box suspension saves resources; WebRTC case study,dagstuhl,2026-07,2026-07,LEO; Orbital compute
CelesTrak,Dataset / data,Data service,Orbital element distribution,Orbital elements,N/A (source of TLE/GP data),N/A,na,N/A,Full public catalog since 1985,N/A,TLE/3LE; OMM; JSON; CSV; XML via gp.php API,N/A,Free access per usage policy (501c3),active,Yes (multiple daily updates),2026-06,https://celestrak.org/,N/A (service),T.S. Kelso,De facto standard TLE source; SupGP includes operator ephemerides,dagstuhl,2026-07,2026-07,Orbits / astro
Contact Plan Designer (CPD),Implementation,,Contact plan computation and design tool,"DTN-based space-terrestrial networks, LEO to interplanetary","Keplerian two-body propagation; TLE/SGP4 and SPICE import; occlusion, elevation and boresight access conditions","Access computation; conflict-free contact plan design (fair contact plan solver); timeline editing; 2D/3D/timeline visualization; CLI, local web app and Python API",no,Planning tool; exports feed real stacks,Solar-system scale; Walker LEO constellations to interplanetary scenarios,YAML scenario files; TLE; SPICE kernels,ION and HDTN contact plans; IETF TVR; IPN-V scenario format; STK-style access CSV; JSON,Python + JavaScript,MIT,active,"Created 2026-06, active development, live site at contact-plan-designer.space",2026-07,https://gitlab.inria.fr/jfraire/contact-plan-designer,IEEE SMC-IT 2017 (original concept); 2026 rewrite,"Juan A. Fraire (Inria), Pablo Madoery (Carleton)","Generates the contact plans consumed by ION, HDTN and DtnSim; exports to the IPN-V visualizer and IETF TVR YANG schedules. Open alternative to STK-based access computation.",community,2026-07,2026-07,Deep space / DTN; LEO
CosmicBeats,Simulator,,Discrete-time modular (node/model architecture),IoT direct-to-satellite / EO,TLE (CelesTrak) + Skyfield,Orbits; LoRa-class PHY; MAC (CosMAC); compute and imaging models,no,No (abstract models),"1,000 IoT devices + 150 LEO sats in examples",JSON configs + TLE files,Logs + analytics pipeline (CSV),Python,MIT,inactive,No (last push 2024-09; 58 stars),2024-09,https://github.com/microsoft/CosmicBeats-Simulator,ACM MobiCom 2024 (CosMAC),Microsoft Research,Application-agnostic; example parameters illustrative not validated,dagstuhl,2026-07,2026-07,IoT
CosmicDance,Measurement,,TLE-driven orbital decay and shift analysis,Space weather impact on constellations,TLE time series,Orbit shift and decay measurement after solar events (Starlink case study),na,,Constellation-scale TLE analysis,TLE archives,Analysis results and dataset,Python,MIT,low,Last push 2024-12; successor CosmicDancePro (arXiv 2026),2024-12,https://github.com/suvambasak/CosmicDance,ACM IMC 2024,IIT Kanpur and MSR India (Basak),Links space weather events to connectivity-infrastructure risk. Successor: CosmicDancePro (arXiv:2604.22685).,sweep,2026-07,2026-07,Orbits / astro; LEO
cote,Simulator,,Compute/energy/comms system simulator,EO / orbital edge computing,TLE + SGP4-class; variable time-step,Orbit; power/energy; compute; ground contact windows,no,No,Constellation-scale (nanosat EO),TLE + fixed-width config files,Logs/CSV traces,C++17,MIT,inactive,No (dormant since 2022-11; 31 stars),2022-11,https://github.com/cmuabstract/cote,ASPLOS 2020 (Orbital Edge Computing),CMU Abstract lab (Denby; Lucia),Strong compute/energy modeling; weak networking layers,dagstuhl,2026-07,2026-07,Orbital compute
DIPT HTTP,Implementation,,HTTP over space-profiled QUIC,Deep space (IP/QUIC),None (run over external delay environment),Application HTTP over QUIC,yes,Yes,Point-to-point,Undocumented,Undocumented,Rust,Apache-2.0,active,Yes (young; last push 2025-10),2025-10,https://github.com/deepspaceip/dipt-http,Supports TIPTOP drafts,Marc Blanchet (Viagenie),Likely uses deepspace-quiche (Cloudflare quiche fork with no-op CC),dagstuhl,2026-07,2026-07,Deep space / DTN
DIPT IP store-and-forward,Implementation,,IP-layer store-and-forward capability,Deep space,Via workbench JSON (buffers + timed link events),Network-layer queueing during disconnection,no,Simulated (in workbench),As per workbench scenarios,As per workbench,As per workbench,Rust (within workbench),Apache-2.0 / MIT,low,With workbench,2026-06,https://github.com/deepspaceip/dipt-quic-workbench,draft-ietf-tiptop-ip-architecture,Marc Blanchet (Viagenie),STANDALONE REPO 404: capability realized inside workbench; fix URL in survey,dagstuhl,2026-07,2026-07,Deep space / DTN
DIPT NETCONF-over-QUIC proxy,Implementation,,Management-plane proxy pair (NETCONF/QUIC),Deep space (network management),None,NETCONF over QUIC; SSH leg to netopeer2 backend,yes,Yes,Single management session,NETCONF XML sessions,NETCONF sessions,Rust,Apache-2.0 / MIT,inactive,Dormant PoC (last push 2024-11),2024-11,https://github.com/deepspaceip/dipt-netconf-over-quic-proxy,Complements TIPTOP drafts,Marc Blanchet (Viagenie),Unauthenticated by design (testing only),dagstuhl,2026-07,2026-07,Deep space / DTN
DIPT Network scenarios,Dataset / data,Dataset,JSON deep-space scenario definitions,Deep space,Hand-authored JSON (topology; timed link events; no propagator),Scenario description only,na,N/A,Few-node scenarios,JSON,Drives the QUIC workbench,JSON,Apache-2.0 / MIT (in workbench),active,Yes (with workbench),2026-06,https://github.com/deepspaceip/dipt-quic-workbench (test-data/),Mirrors draft-ietf-tiptop-usecase,Marc Blanchet (Viagenie),STANDALONE REPO 404: lives inside workbench test-data/; fix URL in survey,dagstuhl,2026-07,2026-07,Deep space / DTN
DIPT QUIC Workbench,Simulator,,Deterministic in-memory network sim with real QUIC,Deep space (IP/QUIC),JSON topology + timed link events (hand-authored contact windows; no TLE),IP store-and-forward with per-node buffers; real Quinn QUIC; HTTP-like app,no,Real QUIC stack over simulated network,Few-node scenarios (Earth-Moon/Mars/Voyager),JSON topology/events/traffic; QUIC transport params,CLI stats; synthetic pcap with TLS keylog; qlog,Rust,Apache-2.0 / MIT,active,Yes (last push 2026-06; 42 stars),2026-06,https://github.com/deepspaceip/dipt-quic-workbench,IETF TIPTOP drafts (quic-profile; ip-architecture),Marc Blanchet (Viagenie),Hub of DIPT family; time-warped deterministic execution; scenarios in test-data/,dagstuhl,2026-07,2026-07,Deep space / DTN
DIPT SCHC TAP,Implementation,,SCHC header compression over Linux TAP,Deep space / constrained links,None (TAP interface; any emulated link below),Adaptation-layer compression below IP,yes,Yes (kernel TAP),Single link pair,Ethernet/IP frames via TAP,SCHC-compressed frames,Rust,None yet (UNLICENSED),low,Early prototype (created 2025-11; no README),2025-11,https://github.com/deepspaceip/dipt-schc-tap,None yet,Marc Blanchet (Viagenie),Newest and least mature DIPT piece; no README/license/releases,dagstuhl,2026-07,2026-07,Deep space / DTN
DSNS,Simulator,,Discrete-event message/flow-level,Deep space DTN + multi-constellation,Fixed points; Walker params; TLE + SGP4; manual links,Abstract PHY; store-and-forward routing with lookahead; detailed LTP; BP-style delivery,no,No,"50,688 satellites; faster than real time on 1 core",Python config scripts,Logs (latency; hops; saturation); pyrender 3D viz,Python (pip: dsns),GPL-3.0,active,Yes (created 2025-09; last push 2026-06),2026-06,https://github.com/ssloxford/DSNS/,IEEE 3S 2025 (arXiv:2508.04317),Oxford Systems Security Lab + armasuisse,Built for PKI-in-space studies; CGR mentioned but NOT implemented; no custody transfer,dagstuhl,2026-07,2026-07,LEO; Deep space / DTN
DTN-COMET,Measurement,Benchmark framework,Automated benchmarking of DTN implementations,Deep space DTN,N/A (node-to-node scenarios),Bundle layer of real DTN stacks (uD3TN; ION); goodput/RTT/CPU/RAM,yes,Yes (real DTN implementations),Two-node evaluations demonstrated,Evaluation configs via API,Metrics via API,Python,BSD-2-Clause,low,Low (last activity 2026-02; 0 stars),2026-02,https://gitlab.com/noethlich/dtn-comet,IEEE WiSEE 2024 (arXiv:2501.10006),T. Noethlich / F. Walter (D3TN),Benchmarks DTN stacks; does not emulate satellite channels itself,dagstuhl,2026-07,2026-07,Deep space / DTN
dtn-tvg-util,Library,,Time-varying-graph / contact-plan generation,Space DTN tooling,TLE-derived and synthetic contact generation,Contact plans / TVGs only,no,No,N/A,TLEs; scenario params,Contact plans / TVGs,Python,MIT,low,Quiet-maintained (activity 2026-06),2026-06,https://gitlab.com/d3tn/dtn-tvg-util,D3TN/TU Dresden papers,Felix Walter (D3TN),rare reusable bridge between orbit propagators and DTN simulators,sweep,2026-07,2026-07,Deep space / DTN
dtn7-go,Implementation,,Go BPv7 daemon (recently rewritten),General DTN,CLA discovery/config,BPv7; TCPCLv4/MTCP/QUIC(exp) CLAs; epidemic/spray routing,yes,Yes,Research deployments,Config,Bundle traffic,Go,GPL-3.0,active,Yes (pushed 2026-02),2026-02,https://github.com/dtn7/dtn7-go,ADHOC-NOW 2019 (DTN7),dtn7 org,companion BPv7 stack for multi-implementation interop,sweep,2026-07,2026-07,Deep space / DTN
dtn7-rs,Implementation,,Rust BPv7 daemon + library,General DTN,Neighbor discovery; external routing hook,BPv7; MTCP/TCPCLv4/HTTP CLAs; epidemic/flooding/external routing,yes,Yes,Terrestrial + lab space scenarios,Config; REST/WebSocket API,Bundle traffic,Rust,MIT/Apache-2.0,active,Yes (pushed 2026-05),2026-05,https://github.com/dtn7/dtn7-rs,RFC 9171,dtn7 org (Marburg),most active independent BPv7 implementation; common in emulation testbeds,sweep,2026-07,2026-07,Deep space / DTN
DTNME,Implementation,,NASA Marshall DTN2-heritage stack (ISS ops),Near-Earth DTN operations,Configured links/schedules,BPv6+v7; TCPCL/LTP/UDP CLAs; static/external routing (Unibo-CGR integrable),yes,Yes,ISS payload operations,Config,Bundle traffic,C++,NASA NOSA,low,Low (last push 2024-05),2024-05,https://github.com/nasa/DTNME,RFC 5050/9171,NASA MSFC,operationally deployed ISS DTN stack; surviving DTN2 lineage,sweep,2026-07,2026-07,Deep space / DTN
